round	UTS_p0.02_1s	CUTS_p0.02_4s	TS	CTS_4s
487	91.973136	24.763988	354.396640	76.097511
488	92.020816	24.797755	355.002080	76.097919
489	92.068224	24.832077	355.611840	76.098036
490	92.115088	24.866400	356.217280	76.098327
491	92.162368	24.900819	356.821040	76.098444
492	92.209808	24.934194	357.429680	76.098677
493	92.255952	24.968110	358.030800	76.098910
494	92.302288	25.002219	358.632960	76.099085
495	92.348080	25.036157	359.231600	76.099260
496	92.393856	25.070125	359.832320	76.099260
497	92.438176	25.103257	360.428960	76.099435
498	92.484272	25.137205	361.027920	76.099552
499	92.529376	25.171017	361.626160	76.099668
500	92.573600	25.204548	362.217040	76.099727
501	92.619408	25.237867	362.814000	76.099902
502	92.663888	25.271892	363.406560	76.100077
503	92.708128	25.305184	364.002320	76.100252
504	92.752512	25.338161	364.595200	76.100485
505	92.797008	25.371824	365.188960	76.100543
506	92.841488	25.404852	365.779040	76.100660
507	92.885184	25.437891	366.364560	76.100777
508	92.929008	25.471357	366.958240	76.100952
509	92.972944	25.504738	367.547280	76.101185
510	93.015664	25.537915	368.134160	76.101301
511	93.059760	25.570700	368.724960	76.101535
512	93.103296	25.603540	369.312320	76.101593
513	93.145328	25.636399	369.898960	76.101768
514	93.187040	25.669636	370.485280	76.101943
515	93.230336	25.702470	371.073440	76.102060
516	93.271424	25.735529	371.654080	76.102118
517	93.312496	25.768588	372.230560	76.102176
518	93.352944	25.801403	372.808560	76.102235
519	93.392928	25.834025	373.388800	76.102410
520	93.434192	25.867195	373.961040	76.102468
521	93.474688	25.899724	374.539920	76.102584
522	93.516160	25.932083	375.120240	76.102759
523	93.557664	25.964643	375.695120	76.102934
524	93.596288	25.996602	376.266640	76.103051
525	93.636320	26.029214	376.841360	76.103109
526	93.676480	26.061533	377.412000	76.103168
527	93.716944	26.093573	377.984960	76.103401
528	93.756592	26.125757	378.553920	76.103518
529	93.795776	26.157609	379.125680	76.103576
530	93.835696	26.190088	379.692000	76.103634
531	93.875440	26.222214	380.259760	76.103751
532	93.915216	26.254043	380.827280	76.103868
533	93.953904	26.286291	381.395760	76.103984
534	93.992256	26.318031	381.962320	76.104159
535	94.030976	26.349660	382.523040	76.104392
536	94.068352	26.381873	383.086880	76.104626
537	94.107216	26.414086	383.644560	76.104742
538	94.145408	26.445900	384.201920	76.104801
539	94.183856	26.477391	384.763520	76.104917
540	94.221136	26.508939	385.324640	76.104976
541	94.259024	26.540966	385.886320	76.105092
542	94.295616	26.571728	386.439680	76.105209
543	94.332384	26.602840	386.995440	76.105326
544	94.369696	26.634169	387.548480	76.105384
545	94.406016	26.665393	388.099600	76.105500
546	94.442976	26.696391	388.652640	76.105559
547	94.480128	26.727983	389.200640	76.105675
548	94.516560	26.759083	389.748880	76.105734
549	94.551936	26.790294	390.297840	76.105792
550	94.589120	26.821532	390.845280	76.105850
551	94.625776	26.852068	391.388560	76.105967
552	94.661776	26.882953	391.935440	76.106025
553	94.698560	26.914024	392.477600	76.106084
554	94.734464	26.944672	393.017920	76.106200
